"WORD - 52","truncated for regex","Wunder - Doesn't know","what it shows up as in lsat"
"corresponding","correspond",,
"contain",,,
"passage","passag",,
"conceivably","conceiv",,
"assumption","assum",,
"implausible",,,
"superfluous",,,
"incompatible","incompatib",,
"exceptionally","exceptional",,
"furthermore",,,
"penalize","penal",,
"vessel",,,
"vulnerable","vulnerab",,
"instance",,,
"presume","presum",,
"justification","justif",,
"exhibit",,,
"dividend",,,
"jointly","joint",,
"shareholder",,,
"permit","permi",,
"reserve","reserv",,
"municipal",,,
"data",,,
"estimate","estimat",,
"remarkably",,,
"consideration",,,
"sole",,,
"criterion",,,
"inertia",,,
"inductance",,,
"reconcile","reconcil",,
"imperative",,,
"pharmaceutical",,,
,,,
"relative",,,
"socioeconomic",,,
"obligation","oblig",,
"characteristic",,,
"distribution",,,
"counter",,,
"entitle",,,
"commonsense",,,
"brief",,,
"consistency",,,
"eliminate","eliminat",,
"retention",,,
"congestion","congest",,
"implement",,,
"evasion",,,
"properly",,,
"incur",,,
"deficit",,,
"urban",,,
"rural",,,
"correlation","correlat",,
"scarce",,,
"extensive",,,
"versatile",,,
"paleontologist","paleontolo",,
"cite",,,
"hatchling",,,
"hypothesis","hypothes",,
"tend",,,
"respects",,,
"attain",,,
"factor",,,
"benefit",,,
"contribute","contribut",,
"refute","refut",,
"centaur",,,
"intuitively","intuitive",,
"imprudent","impruden",,
"prudent","pruden",,
"spontaneously","spontaneous",,
"cautious",,,
"resent",,,
"enable","enabl",,
"substantial",,,
"nevertheless",,,
"superior",,,
"dues",,,
"procedure",,,
"devote","devot",,
"neural",,,
"exert",,,
"proportional",,,
"attributed / attribution / attribute","attribut",,
"ancient",,,
"tone",,,
"depict",,,
"hymn",,,
"manuscript",,,
"composition",,,
"deception",,,
"wholly",,,
"deceive",,,
"clarify",,,
"misinterpret",,,
"conform",,,
"principle",,,
"moralist",,,
"abduct",,,
"extraterrestrial",,,
"century",,,
"promote",,,
"detract",,,
"stimulate","stimul",,
"criticism",,,
"universality","universal",,
"mere",,,
"generalization / generalize","generaliz",,
"overlook",,,
"adverse","advers",,
"trace",,,
"pasteurize","pasteuriz",,
"undergo",,,
"widespread",,,
"injurious",,,
"welfare",,,
"valve",,,
"accordance",,,
"condition",,,
"exactly",,,
"accompany",,,
"seminar",,,
"succession",,,
"necessarily",,,
"feature",,,
"conscious",,,
"ultraviolet",,,
"indistinguishable",,,
"privileges","privilege",,
"prohibitively","prohibitive",,
"panelist",,,
"counterargument",,,
"eminence","eminen",,
"miniscule",,,
"factionalism",,,
"sought-after",,,
"burdensome",,,
"voluntarily","voluntar",,
"acquisition",,,
"demolish",,,
"permissibility",,,
"latter",,,
"anesthesia",,,
"dissolution",,,
"via",,,
"communal",,,
"asocial",,,
"intimate",,,
"phytoplankton / plankton","plankton",,
"impermissible",,,
"exacerbate",,,
"conscientious",,,
"bias",,,
"humanitarian",,,
"specialized","speciali",,
"per-capita",,,
"forage","forag",,
"irrigation","irrigat",,
"unfeasible",,,
"rely",,,
"emergence",,,
"recession",,,
"precondition",,,
"collective",,,
"equate",,,
"preservation",,,
"relevant",,,
"philosopher",,,
"premise",,,
"analogy",,,
"rebuttal",,,
"terminology",,,
"contemporary",,,
"commonplace",,,
"detoxify","detoxi",,
"psychoactive",,,
"ingest",,,
"contort",,,
"carnivorous",,,
"infrastructure",,,
"periodic",,,
"reconstruction",,,
"necessitate",,,
"continuous",,,
"urgency",,,
"manifest",,,
"parachute","parachut",,
"neglect",,,
"domestic",,,
"forgo",,,
"imported",,,
"compatible","compatib",,
"organism",,,
"indefinitely","indefinite",,
"colony",,,
"utopian",,,
"inequity",,,
"harmonious",,,
"sociopolitical",,,
"socialist",,,
"realism",,,
"compatriot",,,
"assert",,,
"medium",,,
"nonliterate",,,
"motif",,,
"salient",,,
"strata",,,
"folklorist",,,
"personify","personif",,
"embody","embod",,
"archetypal",,,
"protagonist",,,
"derive",,,
"initiatory",,,
"denounce",,,
"acute",,,
"juxtaposition","juxtapos",,
"analogous / disanalogous",,,
"dialectical","dialectic",,
"Marxist","Marx",,
"component",,,
"vivid",,,
,,,
"narrative",,,
"synthesize","synthesi",,
"binary",,,
"censorship",,,
"prefatory",,,
"experimental",,,
"unprecedented",,,
"transformative",,,
"disenchantment","disenchant",,
"vicissitudes","vicissitude","x",
"aptness","apt",,
"perniciousness","pernicious",,
"sap",,,
"vitality",,,
"formulaic",,,
"unfathomable",,,
"squarely",,,
"historiographic","historiograph",,
"putative",,,
"constraint",,,
"diversion",,,
"conformity",,,
"reversal",,,
"linear",,,
"canonical",,,
"rhetoric",,,
"subversion",,,
"corrective",,,
"conviction",,,
"purge",,,
"hyperbole",,,
"evaluative",,,
"ritualize",,,
"escalate",,,
"combatant",,,
"variation",,,
"constitute",,,
"subsequent",,,
"markedly","marked",,
"riparian",,"x",
"confine",,,
"refute",,,
"anarchism",,,
"counterintuitive",,,
"jurisdiction",,,
"systematic",,,
"illegitimate",,,
"inherently","inherent",,
"deliberately","deliberate",,
"refrain",,,
"essence",,,
"ardent",,,
"pessimism",,,
"hesitant",,,
"antipathy",,,
"scenario",,,
"underpinning","underpin",,
"enact",,,
"superfluous",,,
"defect",,,
,,,
"gale",,"x",
,,,
"WORD 60",,,
"marginally","marginal",,
"magnitude",,,
"accrue",,,
"diligence",,,
"asset",,,
"liquidate",,,
"inaccessible",,,
"onerous",,,
"eroded",,,
"contingency",,,
"endeavor",,,
"pragmatic",,,
"ramification",,,
"aesthetic",,,
"exclusion","exclusi",,
"convey",,,
"satirical",,,
"satirize",,,
"palpable",,,
"immediacy",,,
"quintessential",,,
"improvisation",,,
"apex",,,
"unionize",,,
"thesis",,,
"intricacy",,,
"instrumental",,,
"pollinate / pollination",,,
"adduce",,,
"nestmate",,,
"naturalist",,,
"decipher",,,
"deduce",,,
"precise",,,
"voltage",,,1
"elicit",,,
"olfactory",,,
"proximity",,,
"generically","generic",,
"plural",,,
"impose",,,
"detrimental","detriment",,
"critique",,,
"consumption",,,
"prevailing",,,
"conducive",,,
"migration",,,
"gratify",,,
"cease",,,
"diverse",,,
"de facto",,,
"dictate",,,
"civility",,,
"civic",,,
"contend",,,
"urbanism",,,
"sprawl",,,
"proliferate",,,
"distillation",,,
"devise",,,
"mutation",,,
"evolutionary",,,
"unforeseen",,,
"prestige",,,
"antagonize",,,
"compound",,,
"ecologist",,,
"emit",,,
"enzyme",,,
"sterilize",,,
"facilitate",,,
"invariably",,,
"inclination",,,
"virtually",,,
"influx",,,
"decimate",,,
"noxious",,,
"radii",,,
"radius",,,
"correspondence",,,
"confiscate",,,
"admissible",,,
"interoffice",,,
"compel / compelling","compel",,
"theorist",,,
"acclaimed",,,
"perception",,,
"explicit",,,
"implicit",,,
"distinctive",,,
"effect/affect",,,
"mulch",,,
"transgress",,,
"utilize","utiliz",,
"ethical",,,
"societal",,,
"sanction",,,
"immune-cell",,,
"polymer",,,
"glucose",,,
"cellulose",,,
"mammal",,,
"rigorous",,,
"innate",,,
"commercially","commerc",,
"avant-garde",,,
"inhibit",,,
"spatial",,,
"reprimand",,,
"endemic",,,
"ecosystem",,,
"photosynthesis","photosynthesi",,
"carbohydrate",,,
"emission",,,
"in lieu of",,,
"correlate","correlat",,
"reduction",,,
"incentive",,,
"disclosure",,,
"inclusive",,,
"indigenous",,,
"cosmopolitan",,,
"expertise",,,
"viable",,,
"dredge",,,
"populous",,,
"geographical",,,
"adobe",,,
"conduct (heat)",,,
"biochemical",,,
"deride",,,
"rehabilitate",,,
"fluctuate",,,
"discrepancy",,,
"epidemiological",,,
"cast (doubt)",,,
"unsound",,,
"inevitable",,,
"dwindle","dwindl",,
"rebutt","rebut",,
"deficiency","deficien",,
"basis",,,
"oriented","orient",,
"substance",,,
,,,
"PT 68",,,
"prospective",,,
"purportedly","purported",,
"distinguished (as in different)",,,
"passive",,,
"flourish",,,
"consistent",,,
"variant",,,
"partake","partak",,
"reliance",,,
"commemorate","commemorat",,
"linguistic / linguist",,,
"thematic",,,
"convention (as in custom)",,,
"affirm",,,
"cohesiveness","cohesiv",,
"embellishment",,,
"metaphor",,,
"incorporate","incorporat",,
"pursuer","pursue",,
"weather (as in persevere)",,,
"imagery",,,
"compose","compos",,
"verse (as in poetry)",,,
"exigency","exigenc",,
"continuity","continuit",,
"editorial",,,
"treatise","treatis",,
"assertion",,,
"centrality",,,
"longevity",,,
"hinder",,,
"reportorial",,,
"array",,,
"multitudinous",,,
"genetic",,,
"muster (as in ""pass ______""",,,
"arise",,,
"dissuade",,,
"circumvent",,,
"botanical",,,
"metabolize",,,
"exclusively","exclusive",,
"decelerate","decelerat",,
"alter",,,
"regulator",,,
"outright",,,
"immunity",,,
"harness (not horses)",,,
"monopoly","monopol",,
"notoriously","notorious",,
"aspiration","aspir",,
"rigor",,,
"receptivity","receptiv",,
"intuition",,,
"assess",,,
"ambiguity",,,
"prevalence","prevalen",,
"illustrate","illustrat",,
"prominence",,,
"ideology",,,
"undermine","undermin",,
"collude","collu",,
"nullify",,,
"overinclusive",,,
"literally",,,
"foresight",,,
"acquit",,,
"discretionary",,,
"inadvertently","inadvertent",,
"capricious",,,
"delinquent (as in not paying)",,,
"selectively","selective",,
"lien",,,
"implication",,,
"appropriations","appropriation",,
"fissure",,,
"tectonic",,,
"fluctuation",,,
"diffuse",,,
"tacit",,,
"philanthropic",,,
"solicit",,,
"counteract",,,
"definitive",,,
"analog (not video)",,,
"conjecture",,,
"conclusive",,,
"revenue",,,
"inhabit",,,
"admittedly",,,
"designated",,,
"secretion",,,
"cartographer",,,
"susceptible",,,
"contention",,,
"associate (v)",,,
"inventive",,,
"exceed",,,
"disparate",,,
"predisposed","predispose",,
"noncompliance",,,
"drought",,,
"delegate (n)",,,
"withstand",,,
"noncognitive",,,
"devoid",,,
"objective (n)",,,
"coincide",,,
"criteria",,,
"rash (adj)",,,
"adequate",,,
"allude",,,
"encrust",,,
"sever",,,
"inequitably","inequitab",,
"editorialist",,,
"ailment",,,
"acquire",,,
"absorption",,,
"inconclusive",,,
"ecologically","ecological",,
"tainted","taint",,
"ascribe","ascrib",,
"archaeologist",,,
"depletion","deplet",,
"apparent",,,
"incinerate","incinerat",,
"hypocrite","hypocrit",,
"tout",,,
"indignation",,,
"drastically","drastic",,
"attitudinal",,,
"infer",,,
"apathy",,,
"iconoclastic",,,
"swath",,,
"pummel",,,
"sequential",,,
"adhere",,,
"underlying",,,
"primer (paint)",,,
"inflammatory",,,
"deem",,,
"animosity",,,
,,,
"PT 67",,,
"vaudeville",,,
"amass",,,
"memorabilia",,,
"insufficient",,,
"undertake",,,
"vest",,,
"scrutiny","scrutin",,
"verification","verif",,
"corroborate",,,
"innovative","innovativ",,
"aspect",,,
"initiative",,,
"objectivity",,,
"chronicle",,,
"duplicate","duplicat",,
"authoritative",,,
"methodology",,,
"objectively",,,
"preponderance",,,
"explication",,,
"skim",,,
"idyllic",,,
"allusion",,,
"salutary",,,
"omit",,,
"interwoven",,,
"collaboration",,,
"employ (non-employment)",,,
"contrast",,,
"exemplify",,,
"accumulate","accumulat",,
"illustrative",,,
"empirical",,,
"ethnographic",,,
"revelation",,,
"expository",,,
"novelistic",,,
"insight",,,
"recount",,,
"anecdote",,,
"amorphous",,,
"distinction",,,
"complacent",,,
"invasive",,,
"vigorous",,,
"pristine",,,
"merit (v)",,,
"biodiversity",,,
"outcompete",,,
"zero-sum",,,
"stark",,,
"continuum",,,
"contradict",,,
"conflate","conflat",,
"arbitrary",,,
"fray",,,
"lamentable","lament",,
"phenomenon / phenomena",,,
"advisability",,,
"sovereign",,,
"abdicate","abdicat",,
"supposition",,,
"theoretical",,,
"conundrum",,,
"paradox",,,
"omnipotence",,,
"monarch",,,
"renege","reneg",,
"regime",,,
"expropriate","expropriat",,"“expropriating”, 10/2012"
"repudiate","repudiat",,
"vein",,,
"extent",,,
"doctrine",,,
"multinational",,,
"bear",,,
"modular",,,
"protein",,,
"enterprise","enterpris",,
"morale",,,
"yield",,,
"phase (v)",,,
"heed",,,
"impropriety",,,
"contractor",,,
"excessive",,,
"dosage",,,
"plausible",,,
"equivocate",,,
"wholesale",,,
"objectionable",,,
"permissible",,,
"paternalistic",,,
"civil liberties",,,
"bombard",,,
"microbial",,,
"conjunction (in ___ with)",,,
"varnish",,,
"climatologist",,,
"acoustic",,,
"plagiarism",,,
"prosperity",,,
"carbon dioxide",,,
"contrary",,,
"rousing",,,
"secrete",,,
"advantageous",,,
"fluorescent",,,
"illuminate","illuminat",,
"deterioration","deterior",,
"humidity","humid",,
"corrosion",,,
"application",,,
"disproportionately","disproportionate",,
"consultation",,,
"free market",,,
"allocation","allocat",,
"corporate",,,
"commensurate",,,
"spur",,,
"ethicist",,,
"discern",,,
"decompose","decompos",,
"forego",,,
"redeem",,,
"compensate","compensat",,
"alleged","alleg",,
"perceive",,,
"verdict",,,
"significant / significantly",,,
"disguise",,,
"pesticide",,,
"organic",,,
"avoidance",,,
"postimpressionist",,,
"critic",,,
"insist",,,
"respiratory",,,
"toxin",,,
"climatic",,,
"pigment",,,
